NSO_DUR_AGG,NSO_DUR_DTP,NSO_DUR_OPV,NSO_DUR_MV
1,1,3,1
2,2,1,1
1,1,1,1
12,12,1,1
1,1,2,1.16
1,1,1,1
3,3,2,1
1,1,1,0.75
1,1,1,4
1,1,1.16,4
1,1,1.5,1
1,1,4,3
1,1,2,3
2,2,2,5
3,3,1,2
3,3,1,5
0.5,0.5,3,2
2,2,3,1
3,3,1,3
3,3,1,1
3,3,2,2
1,1,1,1
12,12,1,4
1,1,3,1
2,2,3,1
3,3,1,2
2,2,2,1
2,2,1,1
2,2,0.5,3
5,5,2,0.5
4,4,3,6
2,2,3,4
1,1,6,1
5,5,2,2
1,1,4,3
4,4,2,1
1,1,1,1
5,5,4,2
5,5,1,1
1,1,1,2
5,5,1,4
0.75,0.75,2,0.5
1,1,4,1
1,1,3,1
3,3,3,
1,1,2,
3,3,2,
1,1,4,
4,4,1,
0.5,0.5,5,
1,1,1,
1,1,1,
3,3,1,
3,3,2,
3,3,1.5,
1,1,3,
1,1,1,
1,1,2,
1,1,1,
3,3,1,
2,2,4,
2,2,1,
3,3,1,
2,2,1,
3,,1,
1,,0.25,
1,,2,
1,,2,
2,,,
1,,,
2,,,
1,,,
1,,,
1.16,,,
1.5,,,
4,,,
2,,,
2,,,
1,,,
1,,,
3,,,
3,,,
1,,,
1,,,
2,,,
1,,,
1,,,
3,,,
3,,,
1,,,
2,,,
1,,,
0.5,,,
2,,,
3,,,
3,,,
6,,,
2,,,
4,,,
2,,,
1,,,
4,,,
1,,,
1,,,
1,,,
2,,,
4,,,
3,,,
3,,,
2,,,
2,,,
4,,,
1,,,
5,,,
1,,,
1,,,
1,,,
2,,,
1.5,,,
3,,,
1,,,
2,,,
1,,,
1,,,
4,,,
1,,,
1,,,
1,,,
1,,,
0.25,,,
2,,,
2,,,
1,,,
1,,,
1,,,
1,,,
1.16,,,
1,,,
1,,,
0.75,,,
4,,,
4,,,
1,,,
3,,,
3,,,
5,,,
2,,,
5,,,
2,,,
1,,,
3,,,
1,,,
2,,,
1,,,
4,,,
1,,,
1,,,
2,,,
1,,,
1,,,
3,,,
0.5,,,
6,,,
4,,,
1,,,
2,,,
3,,,
1,,,
1,,,
2,,,
1,,,
2,,,
4,,,
0.5,,,
1,,,
1,,,
