ISO_code,C_Name,Region,Births_UNDP_2012,Agg_Total_Count,Agg_Max_Count,Agg_Min_Count,Agg_Avg_Count,Agg_Total_Dur,Agg_Max_Dur,Agg_Min_Dur,Agg_Avg_Dur,DTP_Total_Count,DTP_Avg_Dur,DTP_Max_Dur,DTP_Min_Dur,DTP_Total_Dur,OPV_Total_Count,OPV_Avg_Dur,OPV_Max_Dur,OPV_Min_Dur,OPV_Total_Dur,MV_Total_Count,MV_Avg_Dur,MV_Max_Dur,MV_Min_Dur,MV_Total_Dur
AFG,Afghanistan,EMRO,657416,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AGO,Angola,AFROC,405187,3,2,1,1.5,3.32,2.32,1,1.66,0,0,0,0,0,1,1.16,1.16,1.16,1.16,2,1.08,1.16,1,2.16
ARM,Armenia,EURO,66563,7,2,1,1.75,15,9,2,3.75,3,2,4,1,6,2,3,5,1,6,2,1.5,2,1,3
AZE,Azerbaijan,EURO,194707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,Bangladesh,SEARO,3560189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN,Benin,AFROW,176076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN,Bhutan,SEARO,18218,2,1,1,1,1,0.5,0.5,0.5,2,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
BOL,Bolivia,AMRO,213093,1,1,1,1,4,4,4,4,0,0,0,0,0,1,4,4,4,4,0,0,0,0,0
BFA,Burkina Faso,AFROW,336425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDI,Burundi,AFROC,210365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHM,Cambodia,WPRO,314923,2,1,1,1,4,3,1,2,0,0,0,0,0,1,3,3,3,3,1,1,1,1,1
CMR,Cameroon,AFROC,411756,2,1,1,1,3.5,2,1.5,1.75,1,2,2,2,2,1,1.5,1.5,1.5,1.5,0,0,0,0,0
CAF,Central African Republic,AFROC,96885,3,2,1,1.5,3,2,1,1.5,1,1,1,1,1,2,1,1,1,2,0,0,0,0,0
TCD,Chad,AFROC,225273,3,1,1,1,7,6,1,3.5,2,1,1,1,1,1,6,6,6,6,0,0,0,0,0
COM,Comoros,AFROE&S,14427,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
COG,Congo,AFROC,75641,1,1,1,1,3,3,3,3,1,3,3,3,3,0,0,0,0,0,0,0,0,0,0
CIV,Côte d'Ivoire,AFROW,399937,3,1,1,1,9,5,2,3,0,0,0,0,0,2,2,2,2,4,1,5,5,5,5
CUB,Cuba,AMRO,159443,4,1,1,1,13,5,2,3.25,4,3.25,5,2,13,0,0,0,0,0,0,0,0,0,0
PRK,Democratic People's Republic of Korea,SEARO,349390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COD,Democratic Republic of the Congo,AFROC,1227670,9,3,1,1.8,10,4,1,2.5,3,1,1,1,2,2,2.5,4,1,5,4,1,1,1,3
DJI,Djibouti,EMRO,13878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERI,Eritrea,AFROE&S,144248,1,1,1,1,0.75,0.75,0.75,0.75,0,0,0,0,0,0,0,0,0,0,1,0.75,0.75,0.75,0.75
ETH,Ethiopia,AFROE&S,1751038,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GMB,Gambia,AFROW,31082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEO,Georgia,EURO,83601,10,3,1,1.428571429,26,9,1,3.714285714,3,2,3,1,6,5,2.6,4,1,13,2,3.5,4,3,7
GHA,Ghana,AFROW,474097,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
GIN,Guinea,AFROW,215232,7,2,1,1.4,4,2,1,1.333333333,2,1,1,1,1,2,1,1,1,1,3,1,1,1,2
GNB,Guinea-Bissau,AFROW,38195,8,3,1,1.333333333,5.25,2,0.5,1.05,2,0.75,0.75,0.75,0.75,4,0.875,1,0.5,3.5,2,1,1,1,1
GUY,Guyana,AMRO,22667,1,1,1,1,2,2,2,2,0,0,0,0,0,1,2,2,2,2,0,0,0,0,0
HTI,Haiti,AMRO,239421,4,2,2,2,8,6,2,4,0,0,0,0,0,2,1.5,2,1,3,2,2.5,4,1,5
HND,Honduras,AMRO,158401,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IND,India,SEARO,24511056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDN,Indonesia,SEARO,4867074,11,3,1,2.2,24,12,2,4.8,3,2.333333333,4,1,7,4,2,4,1,8,4,2.25,4,1,9
KEN,Kenya,AFROE&S,807109,8,2,1,1.142857143,8.25,3,0.25,1.178571429,4,1,1,1,4,4,1.416666667,3,0.25,4.25,0,0,0,0,0
KIR,Kiribati,WPRO,2021,4,1,1,1,26,12,1,6.5,2,12,12,12,24,0,0,0,0,0,2,1,1,1,2
KGZ,Kyrgyzstan,EURO,132506,3,1,1,1,3,2,1,1.5,0,0,0,0,0,2,1.5,2,1,3,1,0,0,0,0
LAO,Lao People's Democratic Republic,WPRO,140378,5,2,1,1.666666667,12,6,2,4,0,0,0,0,0,3,2.333333333,3,2,7,2,2.5,3,2,5
LSO,Lesotho,AFROE&S,53649,6,3,1,2,13,8,1,4.333333333,2,1.5,2,1,3,3,2,3,1,6,1,4,4,4,4
LBR,Liberia,AFROW,93437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDG,Madagascar,AFROE&S,389313,1,1,1,1,1.5,1,0.5,0.75,0,0,0,0,0,1,1,1,1,1,0,0.5,0.5,0.5,0.5
MWI,Malawi,AFROE&S,339331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLI,Mali,AFROW,330657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRT,Mauritania,AFROW,66138,2,2,2,2,5,5,5,5,1,2,2,2,2,1,3,3,3,3,0,0,0,0,0
MNG,Mongolia,WPRO,65764,2,1,1,1,1.5,1,0.5,0.75,1,1,1,1,1,0,0,0,0,0,1,0.5,0.5,0.5,0.5
MOZ,Mozambique,AFROE&S,563479,5,1,1,1,7,3,1,1.4,3,1.666666667,3,1,5,1,1,1,1,1,1,1,1,1,1
MMR,Myanmar,SEARO,1244821,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
NPL,Nepal,SEARO,589726,5,2,1,1.25,9.5,3,1.5,2.375,3,2,3,1,6,2,1.75,2,1.5,3.5,0,0,0,0,0
NIC,Nicaragua,AMRO,144161,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NER,Niger,AFROW,321813,7,2,1,1.4,15,9,3,5,2,3,3,3,6,3,3,3,3,3,2,6,6,6,6
NGA,Nigeria,AFROW,3440971,5,2,1,1.666666667,12,6,3,4,2,2.5,3,2,5,3,2.333333333,3,1,7,0,0,0,0,0
PAK,Pakistan,EMRO,3406051,2,1,1,1,7,5,2,3.5,2,3.5,5,2,7,0,0,0,0,0,0,0,0,0,0
PNG,Papua New Guinea,WPRO,127338,1,1,1,1,5,5,5,5,1,5,5,5,5,0,0,0,0,0,0,0,0,0,0
MDA,Republic of Moldova,EURO,71639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RWA,Rwanda,AFROE&S,277048,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
STP,Sao Tome and Principe,AFROC,3854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEN,Senegal,AFROW,270886,3,1,1,1,4,2,1,1.333333333,0,0,0,0,0,1,2,2,2,2,2,1,1,1,2
SLE,Sierra Leone,AFROW,153807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLB,Solomon Islands,WPRO,10196,3,1,1,1,4,2,1,1.333333333,0,0,0,0,0,2,1.5,2,1,3,1,1,1,1,1
SOM,Somalia,EMRO,256995,2,1,1,1,7,4,3,3.5,1,3,3,3,3,1,4,4,4,4,0,0,0,0,0
LKA,Sri Lanka,SEARO,405212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDN,Sudan (North),EMRO,880869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TJK,Tajikistan,EURO,210431,2,1,1,1,5,2,1,1.666666667,1,2,2,2,4,1,1,1,1,1,0,0,0,0,0
TZA,Tanzania,AFROE&S,875447,7,3,1,1.75,3,2,1,1.5,3,1,1,1,1,3,1,1,1,2,1,0,0,0,0
TLS,Timor-Leste,SEARO,36797,1,1,1,1,2,2,2,2,0,0,0,0,0,1,2,2,2,2,0,0,0,0,0
TGO,Togo,AFROW,129818,2,2,2,2,5,5,5,5,0,0,0,0,0,1,3,3,3,3,1,2,2,2,2
UGA,Uganda,AFROE&S,616679,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
UKR,Ukraine,EURO,601980,3,3,3,3,9,9,9,9,1,3,3,3,3,1,3,3,3,3,1,3,3,3,3
UZB,Uzbekistan,EURO,696812,10,3,1,2,33,12,1,5.5,5,3,5,1,18,3,1.25,2,1,5,2,3.333333333,5,2,10
VNM,Viet Nam,WPRO,1771088,6,1,1,1,17,4,1,2.833333333,2,3.5,4,3,7,0,0,0,0,0,4,2.5,4,1,10
YEM,Yemen,EMRO,446586,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
ZMB,Zambia,AFROE&S,271316,2,1,1,1,2,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
ZWE,Zimbabwe,AFROE&S,344007,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
