countryName, birthsunpd_2012wpp, siunpd_2012wpp
Canada, 362042, 358157
Sao Tome and Principe, 3854, 3609
Turkmenistan, 128812, 119074
United States of America, 3483743, 3439316
United Republic of Tanzania, 875447, 782828
Lithuania, 50711, 49903
Cambodia, 314923, 242967
Ethiopia, 1751038, 1507333
Swaziland, 29064, 26191
Argentina, 692003, 667564
Cameroon, 411756, 369621
Burkina Faso, 336425, 294275
Bahrain, 11623, 11313
Saudi Arabia, 434521, 406053
Japan, 1605487, 1593339
Cape Verde, 12941, 12043
Slovenia, 20917, 20759
Guatemala, 301907, 276187
Bosnia and Herzegovina, 55677, 54542
Kuwait, 54354, 52811
Russian Federation, 1712334, 1674307
Jordan, 95325, 90738
Dominica, 1627, 1770
Liberia, 93437, 78722
Maldives, 7125, 6313
Jamaica, 62496, 60220
Oman, 57929, 53855
Seychelles, 1773, 1733
Gabon, 27631, 25255
Niue, 124, 107
Monaco, 341, 269
New Zealand, 50926, 50267
Yemen, 446586, 388004
Andorra, 700, 603
Albania, 80218, 76644
Samoa, 5765, 5445
United Arab Emirates, 29358, 28340
Côte d'Ivoire, 399937, 352915
India, 24511056, 21953420
Azerbaijan, 194707, 178823
Lesotho, 53649, 48208
Kenya, 807109, 746999
Tajikistan, 210431, 191602
Turkey, 1551351, 1384997
Afghanistan, 657416, 542670
Bangladesh, 3560189, 3097683
Mauritania, 66138, 59922
Iran (Islamic Republic of), 1747796, 1603672
Viet Nam, 1771088, 1694853
Saint Lucia, 4194, 4078
San Marino, 289, 238
Mongolia, 65764, 58919
France, 756665, 748780
Syrian Arab Republic, 399769, 380325
Rwanda, 277048, 244686
Slovakia, 71752, 70947
Somalia, 256995, 223148
Peru, 620507, 564340
Vanuatu, 4509, 4159
Nauru, 184, 237
Norway, 50376, 49973
Malawi, 339331, 286741
Cook Islands, 503, 554
Benin, 176076, 153600
Cuba, 159443, 156394
Montenegro, 7788, 7704
Saint Kitts and Nevis, 1122, 1015
Togo, 129818, 117366
China, 21017524, 20184218
Armenia, 66563, 63610
Republic of Korea, 812517, 788784
Dominican Republic, 200102, 183940
Bolivia (Plurinational State of), 213093, 187491
Ukraine, 601980, 591685
Ghana, 474097, 428504
Tonga, 3196, 3093
Finland, 64870, 64388
Libya, 128797, 121321
Indonesia, 4867074, 4493290
Central African Republic, 96885, 85850
Mauritius, 22360, 21681
Sweden, 93308, 92638
Belarus, 127940, 125984
Mali, 330657, 278881
Bulgaria, 132522, 129886
Romania, 389375, 378620
Angola, 405187, 341063
Portugal, 159892, 155871
Trinidad and Tobago, 31217, 30143
Cyprus, 13539, 13308
Micronesia (Federated States of ), 3244, 3099
Qatar, 8515, 8295
Malaysia, 407996, 398195
Austria, 88604, 87327
Mozambique, 563479, 482264
Uganda, 616679, 548320
Hungary, 153494, 150057
Niger, 321813, 278550
Brazil, 3896442, 3619832
Guinea, 215232, 179943
Panama, 61531, 59305
Republic of Moldova, 71639, 69552
Costa Rica, 70933, 69281
Luxembourg, 4048, 3998
Bahamas, 5530, 5395
Former Yugoslavia, 396756, 383700
Saint Vincent and The Grenadines, 3098, 2979
Ireland, 68880, 68011
Pakistan, 3406051, 3045244
Palau, 280, 430
Nigeria, 3440971, 2998276
Ecuador, 274864, 254129
Czech Republic, 115225, 114199
Australia, 228160, 225632
Algeria, 863495, 785221
El Salvador, 176416, 161492
Tuvalu, 189, 253
Solomon Islands, 10196, 9426
Marshall Islands, 1577, 970
Chile, 256657, 248174
Belgium, 119490, 118022
Kiribati, 2021, 1837
Haiti, 239421, 208809
Iraq, 544797, 517881
Sierra Leone, 153807, 129982
Georgia, 83601, 79865
Lao People's Democratic Republic, 140378, 122618
Gambia, 31082, 28126
Philippines, 1737335, 1633550
Morocco, 770307, 698379
Croatia, 52814, 52266
Guinea-Bissau, 38195, 32952
Thailand, 1257181, 1196264
Switzerland, 72567, 71950
Grenada, 2889, 2799
State of Palestine, 108761, 105269
Venezuela (Bolivarian Republic of), 499100, 481003
Belize, 6031, 5760
Chad, 225273, 195143
Estonia, 17860, 17565
Uruguay, 56002, 53846
Mexico, 2375048, 2252514
Lebanon, 78167, 75310
South Africa, 1019330, 952266
Uzbekistan, 696812, 655068
Tunisia, 228610, 210411
Djibouti, 13878, 12605
Former Soviet Union, 5004616, 4791323
Antigua and Barbuda, 1300, 1261
Spain, 574577, 567455
Colombia, 853137, 811176
Burundi, 210365, 185012
Fiji, 21603, 20827
Barbados, 4403, 4264
Madagascar, 389313, 344549
Italy, 672961, 662859
Bhutan, 18218, 16037
Sudan, 880869, 785541
Serbia, 149207, 146611
Nepal, 589726, 510709
Malta, 6439, 6329
Brunei Darussalam, 6389, 6257
Democratic Republic of the Congo, 1227670, 1072454
Netherlands, 171039, 169550
Suriname, 11023, 10576
United Kingdom of Great Britain and Northern Ireland, 691540, 682983
