iso3,countryName,unicefRegion,whoRegion,gaviPhase2,birthsunpd_2012wpp,siunpd_2012wpp,wbShort,bcg_cov_wuenic,bcg_Reported,bcg_recomputed,dtp1_cov_wuenic,dtp1_recomputed,dtp1_Reported,dtp3_cov_wuenic,dtp3_recomputed,dtp3_Reported,hepb3_cov_wuenic,hepb3_recomputed,hepb3_Reported,hib3_cov_wuenic,hib3_recomputed,hib3_Reported,pol3_cov_wuenic,pol3_recomputed,pol3_Reported,pcv3_cov_wuenic,pcv3_recomputed,pcv3_Reported,mcv1_cov_wuenic,mcv1_recomputed,mcv1_Reported,rotac_cov_wuenic,rotac_Reported,yfv_cov_wuenic,yfv_Reported,dtp1_dtp3_dropout
AFG,Afghanistan,ROSA,EMR,1,657416,542670,Low income,0,,,22,,,4,,,,,,,,,0,,,,,,11,,,,,,,82
AFG,Afghanistan,ROSA,EMR,1,647919,537121,Low income,0,,,0,,,3,,,,,,,,,3,,,,,,0,,,,,,,
AFG,Afghanistan,ROSA,EMR,1,635549,529275,Low income,10,,,24,,,5,,,,,,,,,5,,,,,,8,,,,,,,80
AFG,Afghanistan,ROSA,EMR,1,621846,520389,Low income,10,,,24,,,5,,,,,,,,,5,,,,,,9,,,,,,,80
AFG,Afghanistan,ROSA,EMR,1,608524,511876,Low income,11,,,39,,,16,,,,,,,,,16,,,,,,14,,,,,,,58
AFG,Afghanistan,ROSA,EMR,1,597872,505666,Low income,17,,,37,,,15,,,,,,,,,15,,,,,,14,,,,,,,60
AFG,Afghanistan,ROSA,EMR,1,592195,503738,Low income,18,,,32,,,11,,,,,,,,,11,,,,,,14,,,,,,,66
AFG,Afghanistan,ROSA,EMR,1,593006,507407,Low income,27,,,50,,,25,,,,,,,,,25,,,,,,31,,,,,,,50
AFG,Afghanistan,ROSA,EMR,1,601366,517623,Low income,40,,,60,,,35,,,,,,,,,35,,,,,,34,,,,,,,42
AFG,Afghanistan,ROSA,EMR,1,617887,534980,Low income,38,,,58,,,33,,,,,,,,,33,,,,,,22,,,,,,,44
AFG,Afghanistan,ROSA,EMR,1,643148,560044,Low income,30,,,50,,,25,,,,,,,,,25,,,,,,20,,,,,,,50
AFG,Afghanistan,ROSA,EMR,1,677144,592882,Low income,21,,,47,,,23,,,,,,,,,23,,,,,,19,,,,,,,52
AFG,Afghanistan,ROSA,EMR,1,718002,631917,Low income,19,,,45,,,21,,,,,,,,,21,,,,,,22,,,,,,,54
AFG,Afghanistan,ROSA,EMR,1,763389,675115,Low income,17,,,41,,,18,,,,,,,,,18,,,,,,25,,,,,,,56
AFG,Afghanistan,ROSA,EMR,1,811322,720697,Low income,15,,,33,,,12,,,,,,,,,8,,,,,,40,,,,,,,64
AFG,Afghanistan,ROSA,EMR,1,859544,766591,Low income,31,,,44,,,20,,,,,,,,,20,,,,,,41,,,,,,,54
AFG,Afghanistan,ROSA,EMR,1,905981,810857,Low income,47,,,56,,,31,,,,,,,,,31,,,,,,42,,,,,,,44
AFG,Afghanistan,ROSA,EMR,1,949186,852169,Low income,43,43,,48,,,28,,28,,,,,,,28,,28,,,,38,,38,,,,,42
AFG,Afghanistan,ROSA,EMR,1,987887,889371,Low income,35,35,,52,,,27,,27,,,,,,,28,,28,,,,31,,31,,,,,48
AFG,Afghanistan,ROSA,EMR,1,1020975,921457,Low income,38,38,37,52,,,27,29,27,,,,,,,27,31,27,,,,31,34,31,,,,,48
AFG,Afghanistan,ROSA,EMR,1,1047942,947995,Low income,30,30,39,48,39,48,24,29,24,,,,,,,24,31,24,,,,27,34,27,,,,,50
AFG,Afghanistan,ROSA,EMR,1,1069043,969272,Low income,43,43,46,59,52,59,33,42,33,,,,,,,35,42,35,,,,37,43,37,,,,,44
AFG,Afghanistan,ROSA,EMR,1,1085485,986424,Low income,46,46,51,62,51,62,36,45,36,,,,,,,36,46,36,,,,35,42,35,,,,,42
